ID	type	x	z	theta	cover	uniqueCode
1	3.0x20.0x16.0	97.88232	35.33305	30.6	-1	2
6	3.0x20.0x30.	-34.3651	112.2614	14.20003	-1	15
7	3.0x20.0x30.	-48.76593	55.35072	14.20003	-1	16
9	5.0x15.0x30.0	-107.9642	51.10648	180	-1	23
10	5.0x15.0x30.0	-107.9864	132.7957	180	-1	24
13	15.0x7.0x7.5	-107.3172	195.8372	270	1	32
14	5.0x18.0x60.0	96.22955	144.224	-9.550009	-1	38
17	18.0x7.0x7.5	44.69563	70.23677	90.00001	1	45
18	4.0x18.0x7.0	-27.5245	200.6816	0	-1	50
21	5.0x18.0x60.0	24.74781	210.4611	95.0003	-1	66
24	3.0x12.0x25.0	-43.76546	-14.25783	261.9097	-1	73
25	4.0x18.0x7.0	57.28167	54.95406	-0.2999794	-1	76
