id	type	x	y	z	theta	gyokaku
6	spot	-60	103.5	58.67927	27.04118	168.1997
7	spot	-60	103.5	57.20665	28.4644	174.7191
8	spot	-60	103.5	87.63817	0	0
9	spot	-60	103.5	132.1208	14.7066	0
10	spot	-60	103.5	203.8122	21.8227	0
11	spot	-90	103.5	179.0862	19.45067	216.443
12	spot	-90	103.5	192.7848	0	0
15	spot	-60	51	233.075	57.4032	144.7299
16	spot	60	51	2.554649	57.66794	318.1451
17	spot	-30	51	1.230972	0	0
18	spot	-60	51	2.936523	0	0
19	spot	0	103.5	62.35934	32.25965	182.5423
20	spot	0	103.5	107.1604	27.04118	177.3267
21	spot	0	103.5	195.9252	0	0
22	spot	30	103.5	6.849548	0	0
25	spot	30	103.5	68.04855	0	0
28	wid	60	36	57.92561	16.12983	233.3933
32	wid	-30	36	190.2103	64.99371	27.38132
33	wid	90	36	160.0586	0	0
35	wid	30	58.5	233.8086	37.47812	95.18275
