id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-5.509463,6.75,-31.12647	-0.5877851,0,0.8090171		13.19997
2	3	1		2.133683,6.75,-18.95996	-0.1745074,0,0.9846559		15.59997
3	4	2		4.065965,6.75,3.583801	0.1950904,0,0.9807853		12.59997
4	5	3		1.116993,7.318112,26.13452	0.5336147,0,0.8457277		6.449975
5	6	4		8.431985,7.572622,57.92112	0.8256062,0,-0.5642469		5.249974
6	7	5		20.66366,8.911674,13.4643	0.02879356,0,-0.9995854		0.2999737
7	8	6		33.35486,9.08834,9.018176	-0.0444917,0,-0.9990097		-0.3000183
8	9	7		67.02522,9.08834,32.16479	-0.0444917,0,-0.9990097		-0.3000183
9	10	8		43.40344,7.824386,20.81645	0.6129083,0,0.7901541		4.199975
10	11	9		66.0518,9.525257,36.37834	0.9278368,0,0.3729863		-1.800018
11	12	10		73.23305,6.846887,58.68349	0.7654817,0,-0.6434577		9.749975
12	13	11		99.77671,7.713484,70.78984	0.9994209,0,-0.03403008		4.649975
13	14	12		78.1963,7.86228,70.43013	-0.3139901,0,0.9494262		4.049966
14	15	13		48.77205,8.823477,113.2297	0.8968737,0,0.442287		0.5999663
15	16	14		58.80362,8.098325,137.9414	0.8457288,0,0.533613		3.149968
16	17	15		36.34526,8.77947,146.3363	0.3899295,0,0.9208447		0.7499675
17	18	16		12.76946,9.044184,163.244	0.01832687,0,0.999832		-0.1500244
18	19	17		-6.724514,8.098325,197.3764	-0.9741729,0,0.2258033		3.149968
19	20	18		-0.5066649,7.472708,73.78226	0.4771645,0,0.878814		5.699958
20	21	19		37.37825,8.648035,51.62308	0.9997224,0,-0.02356458		1.199958
21	22	20		35.98873,6.75,60.84943	0.9999691,0,0		62.84998
22	23	21		36.39462,6.75,77.48372	0.9997223,0,-0.02356493		61.34996
23	24	22		31.78319,9.132472,96.17785	-0.8285458,0,0.5599213		-0.4500427
24	25	23		10.10861,9.35199,70.80579	-0.9494237,0,0.3139978		-1.200043
25	26	24		8.668319,7.03689,47.74541	-0.9729765,0,0.2309043		8.099965
26	27	25		-34.46782,8.474758,28.62865	-0.9595585,0,0.2815093		1.799964
27	28	26		39.76234,8.474759,80.71904	-0.9888858,0,0.1486773		1.799962
28	29	27		25.74449,8.138973,117.3847	-0.6454532,0,0.7637998		2.999962
29	30	28		2.753922,7.824389,153.6945	-0.9258682,0,0.3778467		4.199962
30	31	29		-58.76678,8.561059,179.6886	-0.1460726,0,0.9892739		1.499961
31	32	30		-59.58743,9.132472,206.8612	0.08890778,0,0.9960399		-0.4500427
32	33	31		-94.61081,6.75,208.6417	0.1045429,0,0.9945204		14.84996
33	34	32		-49.96459,7.939368,201.9776	0.9999691,0,0		3.749961
34	35	33		-68.83797,7.749978,160.8343	-0.5067744,0,0.8620787		4.499961
35	36	34		-90.43954,6.75,202.5629	-0.9998765,0,0.01572073		39.14996
36	37	35		-96.94819,9.176544,205.9151	-0.9988893,0,0.04712027		-0.6000366
37	38	36		-96.44806,6.75,189.5162	-0.9997804,0,0.02095658		48.14996
38	39	37		-99.14049,9.610751,184.8575	-0.9988905,0,-0.04709339		-2.100037
39	40	38		-64.60184,6.777703,167.0437	-0.9354388,0,0.3534889		10.79996
40	41	39		-61.31091,6.889074,157.7102	-0.8673398,0,-0.4977165		9.299962
41	42	40		-78.58647,6.995241,140.5009	-0.9962689,0,0.08630311		8.399961
42	43	41		-76.20203,7.289095,119.6273	-0.9999694,0,0		6.599961
43	44	42		-67.0248,7.409019,102.6082	-0.7253847,0,-0.6883438		5.99996
44	45	43		-74.67872,7.538752,64.58063	-0.9999453,0,-0.01045668		5.399961
45	46	44		-69.79733,7.538752,43.25577	-0.9999453,0,-0.01045668		5.399961
46	47	45		-40.23719,7.78695,96.16545	-0.9999146,0,-0.01307487		4.34996
47	48	46		-98.77364,6.75,95.02253	-0.9962718,0,-0.08627009		14.84996
48	49	47		-98.77364,11.22878,95.02253	-0.9991236,0,-0.0418582		-10.95004
49	50	48		-42.94711,11.25,89.3456	-0.999586,0,-0.02877688		-35.40002
50	51	49		-41.77161,11.25,100.5677	-0.9855533,0,0.1693662		-35.70004
51	52	50		-51.54655,11.25,120.3466	-0.8343578,0,0.5512232		-36.60004
52	53	51		-52.14041,7.86228,172.9736	0.524712,0,-0.8512799		4.049968
53	54	52		-57.6773,7.86228,148.5942	0.932633,0,-0.3608268		4.049968
54	55	53		-56.39163,8.389269,118.8647	0.9645531,0,-0.2638892		2.099967
55	56	54		-82.30516,7.472706,101.0563	0.9735754,0,-0.2283665		5.699968
56	57	55		-69.79579,6.777703,84.45173	0.9759131,0,-0.2181596		10.79997
57	58	56		-69.90794,8.823477,60.95209	0.9526567,0,-0.3040484		0.5999673
58	59	57		-103.9245,8.517815,24.28619	0.8105658,0,0.5856476		1.649967
59	60	58		-61.97817,8.691732,9.672935	0.07060468,0,-0.9975044		1.049967
60	61	59		-50.78,8.604468,8.840694	-0.0392822,0,-0.9992281		1.349967
61	62	60		-37.42892,8.604468,9.647768	-0.0392822,0,-0.9992281		1.349967
62	63	61		-26.6591,8.604468,12.5568	-0.03928183,0,-0.9992281		1.349967
63	-1	62		16.0479,10.25004,29.78979	-0.9988908,0,-0.04708636		-4.500031
